中文名称,,英文名称,博物馆简介,地理位置,所属省份,所属城市,建造时间,占地面积,博物馆类别,联系电话,相关历史人物或故事,藏品种类,藏品数量,代表藏品名称,代表藏品基本信息,开放时间,门票价格,游玩时长,游玩季节,公交路线,经度,纬度,,,,,,,,,,,,,
洛阳博物馆,,LuoYang   Museum,现为国家一级博物馆、河南省优秀爱国主义教育基地。是一座集文物收藏、科学研究、陈列展览、社会教育与文化交流诸功能为一体的综合性博物馆。,洛龙区聂泰路,河南省,洛阳市,1958,200000,综合,0379-69901002,1958年5月，洛阳博物馆始建，原址位于洛阳洛南关林。是新中国成立后，地市级最早建立的博物馆之一。当时由于财政紧张，暂定关林庙为馆址，洛阳市文物管理委员会与博物馆合署办公，编制14人，关林庙的大殿和厢房辟为展厅。,汉唐陶俑、唐三彩、石刻、书画、王绣牡丹艺术、牡丹花都特产,400000,东汉石辟邪,高1.9米、长2.9米，重达8吨，是全国所有出土的石辟邪中体型最大、最完整的。此辟邪为光武帝原陵神道一侧的石刻，用完整的一块青石雕成，身若虎豹，头类狮子，嘴大牙锐，身长双翼，昂首怒目，长尾拖地，双角直竖，造型非常奇特，似有正欲起飞之感,09：00-16:30（每周一休馆维护）,免费,3-4小时 ,四季皆宜,在市区乘坐37、49、68路公交车，在“聂湾南”站下车后，再沿着唐聂七街向东步行约10分钟即到。或乘坐77路公交车，在“洛阳博物馆”站下车后，再向西走到聂泰路口转向北，步行约15分钟可到。,112.4579925,34.64963036,,,,,,,,,,,,,
洛阳周王城天子驾六博物馆,,The Sixth Museum of Emperor's Driver in King Zhou City ,洛阳周王城天子驾六博物馆位于河南省洛阳市西工区中心的东周王城广场，东周王城遗址区的东北部，是一座以原址保护展示的东周时期大型车马坑为主体，辅展以东周王城概况、王陵考古的新发现及部分东周时期珍贵文物的“王城、王陵、王器”专题博物馆。,西工区,河南省,洛阳市,"
2002",1700,历史,0379-63912399,"
20世纪50年代，洛阳一期城市总体规划有意避开了东周王城遗址和隋唐洛阳城遗址，为洛阳市的遗址保护作出了巨大的努力。2000年，东周王城遗址被列为省重点文物保护单位。2002年，“天子驾六”车马坑的发现，开启了洛阳市对文物遗址保护的新尝试，不仅对“天子驾六”车马坑进行原址保护，还对同时发现的其他陪葬坑就地回填；2006年，唐宫西路小学综合楼在建设过程中，发现了21座中型古墓葬和2座车马坑，采用原址建馆的方式进行保护。",车马坑，墓葬，粮窖,800,“天子驾六”车马坑 ,在前期文物钻探和考古发掘过程中，在1.6万平方米的范围内发现了18座车马坑和近400座墓葬；在另外的1.4万平方米的广场用地范围内探明11座车马坑和200余座墓葬。其中在一座长42米、宽7.2米的最大车马坑内，清理出6匹骏马驾一车的遗迹，印证了古文献中有关夏、商、周时期“天子驾六”的说法,夏季8:00-22:00，冬季8:00-18:30提前半小时停止售票。,成人票30元。                            身高1.4米以下儿童和70岁以上老人（凭证）免费。                       60-70岁老人和学生凭证半价。,2-3小时,四季皆宜,火车站乘5、48、56、81路到王城广场（路南是王城广场，路北是天子驾六博物馆）。也可在市内乘坐18、9、103、101、22路公交可到。,112.4439015,34.67980565,,,,,,,,,,,,,
八路军驻洛办事处纪念馆,,The Commemorithion of the Office of the Eight Route Army of Luoyang ,八路军驻洛办事处纪念馆，简称洛八办纪念馆，创立于1985年5月，原址为始建于1938年的八路军驻洛办事处（八路军驻洛办事处则建于1831年建成的一所宅院），是为了纪念八路军驻洛阳办事处而以其旧址为依托成立的一座革命纪念馆，该馆也是洛阳市唯一的一处对外开放的革命旧址纪念馆。,老城区九都东路222号 ,河南省,洛阳市,2002,4388,革命,0379-63952409,民国二十七年（1938年）7月，中共中央在延安开始“洛八办”筹备工作。滕代远、罗瑞卿推荐军委统战部的负责人刘向三担任办事处的处长。8月，中共河南省委军事部长兼统战工作委员会主任彭雪枫以八路军总部少将参谋长的身份来到洛阳，向国民党第一战区司令长官程潜提出我军在洛设立办事处的要求。同年十月，刘向三与五十多位同志到达洛阳，设立“八路军驻洛通讯处” 。不久，通讯处改为办事处，“国民革命军第十八集团军驻洛办事处”正式建立。,革命文物、书籍及部分照片,459,“第十八集团军”证章,八路军驻洛办事处纪念馆内有“第十八集团军”证章2枚。圆形，铜质。一为“廿八年用”（民国二十八年（1939年）），正面号码271。一为“廿九年用”（民国二十九年（1940年）），正面号码88。两枚证章的字面设计是不--样的，这是八路军当时佩戴的证件,"夏：上午8:30—12:00 下午15:00—18:00
冬：上午8:30—12:00 下午14:30—17:30
周一闭馆。",免费,3-4小时,四季皆宜,乘坐洛阳公交16路、17/k17路、23路、57路至九都东路南门口街口站,112.4879422,34.68287003,,,,,,,,,,,,,
定鼎门遗址博物馆,,Dingdingmen Site Museum ,定鼎门遗址，世界文化遗产，是隋唐和武周时期都城洛阳城外郭城正门，隋初名建国门，唐时更名定鼎门，位于隋唐洛阳城中轴线上。隋炀帝营建东都洛阳，次年迁都洛阳，成为第一个通过定鼎门的皇帝。之后，定鼎门相继被唐、后梁、后唐、后周和北宋定为洛阳外郭城正门，直到北宋末年，才逐渐废弃，定鼎门作为郭城南垣正门的时间长达530年，是迄今为止我国发现沿用时间较长的古代都城城门。,洛龙区关林镇曹屯村和 安乐镇赵村之间 ,河南省,洛阳市,"
2009","
4000000 ",历史,0379-80881315,定鼎门是隋唐都城洛阳城外郭城正门，位于隋唐都城洛阳城中轴线上。公元605年，即隋大业元年，为进一步控制关东和江南地区，隋炀帝杨广敕命营建东都，每月征发全国工匠200万人。公元606年年初，一座规模宏大的都城拔地而起，这就是当时的东都——洛阳城。自隋炀帝迁都至此，隋炀帝迁都洛阳，成为第一个通过定鼎门的皇帝。该城作隋都15年，相继为唐、后梁、后唐、后周等朝代的都城，武则天称其为神都，后人称其为隋唐洛阳城。之后，定鼎门相继被唐、后梁、后唐、后周和北宋定为外郭城正门，直到北宋末年，才逐渐废弃。,定鼎门，丝绸之路,暂无,定鼎门,鼎门遗址博物馆外观为仿唐城门，由城门、城墙、城楼和阙楼组成。其中城台、城墙、阙台内部为遗址保护和展示区，考古发掘出土的定鼎门遗址门道、柱础石等将在这里得到原址保护展示;城楼、阙楼内部空间为陈列展览区，主要展示定鼎门遗址的演变历史和隋唐洛阳城在考古发掘中出土的部分文物。,周二至周日 9:00-17:00 ，           16:00 停止售票，周一闭馆。,30元/人次，持士兵证、军官证、全日制学生证、残疾人证、离休证、70岁以上的老年人，可以免费参观。1.4米以下儿童免票。,3-4小时,四季皆宜,乘坐公交15、33、53、55、58、69、76、97路，在（洛阳国际学校）站下车,112.4784134,34.6625876,,,,,,,,,,,,,
洛阳民俗博物馆,,Luoyang Folk Museum,洛阳民俗博物馆位于洛阳市新街南端，是中国专题性博物馆。是在全国重点文物保护单位——潞泽会馆古建筑群的基础上兴建而成。潞泽会馆，因祀关羽又名关帝庙，为清乾隆九年(1744)所建。现有舞楼、钟鼓楼、穿房、廊房、正殿、后殿、配殿等，是一组结构严谨、风格独特的古建筑群。1981年建为豫西博物馆，1987年改为洛阳民俗博物馆，次年对外开放。,河区新街433号,河南省,洛阳市,1981年,15750,文化,0379-63951064,是一座以弘扬河洛文化、展示民俗风情为主的专题性博物馆，该博物馆是在古建筑群潞泽会馆的基础上组建成的。潞泽会馆始建于清代乾隆九年（公元1744年），系山西潞安府（今长治）、泽州府（今晋城）两地商人集资所建，主要用于同乡商人传递信息和物资集散，是晋商文化的产物。整个古代建筑群层次分明，结构严谨，占地面积15750平方米，是中原地区保存完整、规模宏伟的古建筑群之一，在建筑设计和营造法式上集清代河南地方建筑技术之大成，是中原地区清代地方古代建筑杰出的典范，其建筑装饰艺术十分考究，木雕和石雕作品非常精美，堪称中原地区雕刻艺术宝库中一束光彩夺目的奇葩。,民间工艺、婚俗、寿俗、信俗,3053,明代三世佛,夹纻贴金工艺，高3.5米，造型优美，工艺考究,夏上午8:30:—12:00 下午13:00—17:30　冬上午8:30—12:00 下午13:00—17:00,免费,2-3小时,四季皆宜,机场距离景区12公里 出租车火车站距离景区公里 53公里 5路公交车市中心距离景区 3.5公里 9路、5路、17路、22路公交车近九都路与 新街路交叉,112.4960515,34.68534807,,,,,,,,,,,,,
老洛阳匾额博物馆,,Old Luoyang plaque Museum ,洛阳匾额博物馆是全国第一个以收藏、展示和保护历代匾额为主的国有匾额专题博物馆。现已从洛阳民俗博物馆馆藏的1725块匾额中遴选出各类精品匾额500余块，分别辟为功德声望厅、贞节贤孝厅、官府门第厅、婚喜寿庆厅、医德教泽厅、寺庙宗祠厅、书斋堂号厅、精品匾额厅8个陈列展厅。这些匾额时间跨越明代、清代、民国等历史时期，最早可至明代天顺年间，具有重要的文物价值、历史价值和艺术价值。,"
洛阳新街以东、九都路以北、洛阳民俗博物馆以西",河南省,洛阳市,2009/4/11,3160,历史,0379-63951064,作为一种集书法、文学、雕刻艺术和装饰美学于一体的传统文化载体，匾额被广泛应用于社会生活的方方面面，因其用辞雅致，书法精美，雕刻细致，具有很高的艺术价值和历史价值，历来深受人们的喜爱。2009年4月11日，全国第一座匾额专题博物馆——洛阳匾额博物馆正式对外开放，共展出洛阳民俗博物馆征集的明代天顺六年（公元1462年）至民国时期各类匾额300余块，每块匾额都配有“匾文”和“释文”解说牌。,匾额,1700,"
“质直好义”匾额",暂无,"上午8:30—12:00
下午13:00—17:30（夏季），13:00—17:00（冬季）
周二到周日开放，周一闭馆（周一逢节假日开放）
",免费,1-2小时,四季皆宜,22路，7路，17路,112.4954081,34.68510252,,,,,,,,,,,,,
洛阳老子纪念馆,,Luoyang Laozi Memorial Hal,洛阳市为纪念我国古代这位伟大的哲学家和思想家，将老城区北大街的全国重点文物保护单位洛阳祖师庙筹建老子纪念馆。2012年9月28日，洛阳老子纪念馆（原洛阳祖师庙）正式开馆，目前国内唯一的老子文化的专题性展览馆，也是全国最大的老子文化专题纪念馆。,老城区北大街,河南省,洛阳市,"
2012年9月28日 ",1700,"
文化",0379-63952750,走进大殿，一座高约2.4米的老子雕像首先映入眼帘。这尊雕像面容丰满，体态潇洒，服饰飘逸，旁边还站立着两名“童子”。大殿四周的墙壁上是刚刚绘制完成的壁画，壁画描绘了老子的一生，包括老子出生、拜师、在洛阳担任守藏史、著《道德经》、西出函谷关等经历。,老子文化,暂无,老子雕像,中国古代思想家、哲学家、文学家和史学家，道家学派创始人和主要代表人物，与庄子并称“老庄”。在道教中被尊为始祖，称“太上老君”。在唐朝，被追认为李姓始祖。曾被奉为世界文化名人，世界百位历史名人之一。老子思想对中国哲学发展具有深刻影响，其思想核心是朴素的辩证法。在政治上，老子主张无为而治、不言之教。在权术上，老子讲究物极必反之理。在修身方面，老子是道家性命双修的始祖，讲究虚心实腹、不与人争的修持。,周二 — 周六，周一闭馆,免费,2-3小时,四季皆宜,"30路、34路、53路、86路、90路、恒大专线
",112.4846203,34.69590357,,,,,,,,,,,,,
洛阳周公庙博物馆,,Luoyang Zhougong Temple Museum,周公庙始建于隋末唐初，是纪念周公姬旦的祠庙。周公姬旦是西周时期思想家、政治家、军事家、中国儒家思想的奠基人。他曾协助武王治国灭商，营建洛邑成周，辅佐成王定鼎郏鄏、制礼作乐。周公庙亦称元圣庙，为全国三大周公庙之一，也是周公后裔150余姓寻根问祖、祭祀祖先的圣地。唐、明、清和民国年间曾先后重修和扩建。,"
洛阳市老城区定鼎南路与凯旋东路交叉口东100米 ",河南省,洛阳市,1989年,33333,"
文化",0379-65277005,"洛阳周公庙是纪念西周时期著名的政治家、军事家、思想家、古代洛邑的缔造者、中国儒家思想的奠基人周公姬旦的祠庙。周公曾协助武王伐纣灭商、辅佐成王摄政、东征平定叛乱、营建洛邑并制礼作乐，使中国成为礼仪之邦。由于周公开创了千秋伟业，被后世奉为天下第一圣人——“元圣”。
 ",周公史迹,暂无,周公解梦碑刻,洛阳公庙内明代所建定鼎堂的西山和后墙上，镶嵌有《周公解梦》碑石，内容共二十七章，刊在十四块碑石上。每块碑高一百二十五厘米，宽四十五厘米。碑刻为楷书，清秀隽雅，很耐观赏。从碑文内容比较一洛阳周公庙刻石与三义堂藏版极为相近。,周一闭馆，周二-周日：8:30-17:00,免费,2-3小时,四季皆宜,市内乘4、5、8、9、26、53、81路公交车定鼎南路与凯旋路交叉口下车,112.468941,34.68228125,,,,,,,,,,,,,
洛阳古代艺术博物馆,,"
Luoyang ancient art museum ",洛阳古代艺术博物馆原名洛阳古墓博物馆，占地面积130余亩，建筑面积8200余平方米，由一组仿汉代建筑群和一组仿北魏建筑群组成，整个地面建筑之间，广植花草树木，间设假山水池，堪称公园式博物馆，1987年建成开放。,老城区机场路45号 ,河南省,洛阳市,1987年 ,86666,"
历史",0379-62265737,自古有“北邙山头少闲土，尽是洛阳人旧墓”之说的洛阳北邙山及周边地区，历代古墓葬 星罗棋布，在此基础上应运而生的专题性博物馆——洛阳古墓博物馆，其面积之大、风格之别致、收集古墓年代之久、类型及数量之多均属世界首位，是中国一大绝观。因此，洛阳古代艺术博物馆又是我国最大的古墓博物馆之一，同时也成为世界上第一座古墓博物馆。,墓葬，壁画,600,礼佛图,　整组画面以工笔彩绘人物、花卉、翎毛、山石为主。画面人物众多，人高1米有余，东西山壁画各近30人左右，神情各异，形象逼真，均汉人装束，服饰发型早于清代。整组壁画画风细腻，线条充满张力，在60平方米的画面上无重笔、余笔、败笔，显见画家深厚的艺术功底,"
周一闭馆，周二至周日：夏季 9:00-17:00，冬季 9:00-16:30。",免费,3-4小时,四季皆宜,"
从洛阳站乘83路公交车，在“洛阳古代艺术博物馆”站下车即可",112.0994907,34.14574302,,,,,,,,,,,,,
河南古代壁画馆,,Henan ancient mural Museum,河南古代壁画馆位于河南洛阳古代艺术博物馆院内，河南古代壁画馆是河南省第一座以墓葬壁画为陈列内容的专题性展馆。其主体建筑为仿汉代阁楼式建筑，建筑面积2300平方米，2011年11月开馆,"
洛阳古代艺术博物馆院内 ",河南省,洛阳市,"
2011年11月 ","
2300",文化,0379-62265737,河南古代壁画馆是全国首家专题性古代壁画馆。据介绍，该馆展示的壁画涵盖天文、地理、神灵等，堪称一部用图像写就的中国历史。既有展现宫廷出行仪仗的壁画，又有反映“王祥卧冰”等“二十四孝”的民间内容的壁画。这些壁画形象清晰，题材内容宽广，是中国古代绘画艺术遗产的重要组成部分，具有其他典籍资料无法替代的历史文化价值。,壁画，彩绘雕砖,100,七彩华章——河南墓葬壁画,“七彩华章——河南墓葬壁画”位于壁画馆地下一层，陈展面积700平方米，是展出的核心部分。该展厅以壁画实物为主，按时间顺序，展示河南省（目前主要是洛阳地区）出土的墓葬壁画，展区内共展出西汉、新莽、东汉、北魏、唐、五代、宋、金等8个朝代（时期）的15座墓中的53组90余幅壁画和彩绘雕砖，壁画墓的墓主人身份多样，上至皇帝、嫔妃、达官贵人，下至地方小吏、普通百姓。,周一闭馆，周二至周日：夏季 9:00-17:00，冬季 9:00-16:30。,免费,2-3小时,四季皆宜,从洛阳站乘83路公交车，在“洛阳古代艺术博物馆”站下车即可,112.421723,34.738546,,,,,,,,,,,,,
洛阳隋唐大运河博物馆,,Grand Canal Museum of Sui and    Tang Dynasties in Luoyang,"洛阳隋唐大运河博物馆位于河南省洛阳市，是依托洛河北岸的全国重点文物保护单位——古建筑群山陕会馆筹建而成的。
",洛阳九都东路171号 ,河南省,洛阳市,"
2014年4月 ",暂无,"
文化",0379-63532448  0379-63483078,"
洛阳山陕会馆始建于清康熙雍正年间，现有琉璃照壁、东西仪门、山门、东西僧房、舞楼、东西廊房、东西官厅、拜殿、正殿、东西配殿，是一组结构严谨、风格独特的古建筑群，是清朝初年山西、陕西商人为经商方便，在洛阳古运河（今洛河）北岸边、紧邻洛阳当时的南关码头和洛汭严关，集资筹建的经商聚会场所。","
洛阳与大运河的关系",暂无,"
大运河水系浮雕图",为让游客更加清晰地了解大运河的分布和流向，洛阳隋唐大运河博物馆还在会馆中央广场上，制作了一块150平方米左右的大运河水系浮雕图。在浮雕图上，大运河的流向及其沿线城市一目了然。,周二至周日 9:00:—17:00   ,免费,1-3小时,四季皆宜,乘公交7路、16路、17路、23路、57路到九都东路南门口街口站下可到,112.488457,34.68176898,,,,,,,,,,,,,
偃师商城博物馆,,Shangcheng Museum in Yanshi ,偃师商城博物馆(Shangcheng Museum in Yanshi)是中国历史类专题博物馆。位于河南省洛阳市偃师市城西南。1985年10月兴建，1987年4月建成开放。该馆主体建筑为一座“四阿重屋”式仿古宫殿建筑群，殿堂居中，廊庑相连，青砖青瓦。古朴典雅，院内苍松翠柏，繁华似锦，古色古香，景色宜人。馆址占地面积约16000平方米，建筑面积3100平方米，展室面积1100平方米，1985年10月动工兴建，1987年4月建成,偃师市商都东路52号 ,河南省,洛阳市,1987/4/1,"
16000",历史,0379-67711935,"偃师商城博物馆是中国唯一一座集夏商研究、陈列、宣传为主的历史类专题性博物馆，
馆址位于偃师市区西南隅，偃师商城遗址东100米处。馆舍为殿堂居中，廊庑相连的仿古宫殿建筑群，于1987年落成并正式对外开放。占地面积16000平方米，建筑面积5500平方米，展室面积2500平方米，展线长度470米，馆藏文物两万余件（套）。馆内拥有科学的管理体系，丰富的陈列内容，新颖的陈列形式，完善的服务设施和优美的欣赏环境，堪称“豫西明珠，华夏宝库”。",青铜器、玉器、象牙器、骨器、金银器、漆器、陶器等。,20000,乳钉纹青铜爵,二里头文化（约公元前21世纪-前13世纪）后期。饮酒器。高22.5厘米，宽31.5厘米。 1975年河南省偃师市二里头出土，现藏洛阳博物馆。长流尖尾，束腰平底，三锥足细长。流折处有两钉形短柱。腹部一面有凸线两道，两线之间横列五枚乳钉装饰。器壁甚薄。,夏上午8:30:—12:00  下午15:00—18:00　冬上午8:30—12:00   下午14:30—17:30,免费,3-4小时,四季皆宜,在洛阳坐至偃师的长途车，到偃师博物馆下车即到。,112.7866422,34.73191345,,,,,,,,,,,,,
新安县博物馆,,Xin'an County Museum,新安县博物馆位于新城世纪广场东侧，博物馆为四层框架结构，建筑面积4100多平方米，具有较强的文物保护和展示功能。,"
新安县新城世纪广场",河南省,洛阳市,"
2002年7月2日",4100,文化,0379-67293069,为更好地展示利用文物资源，服务“两个文明”建设，新安县委、县政府2002年7月2日正式动工兴建投资380万元的新安县博物馆。,唐三彩、瓷器、青铜器,5000,唐三彩,中国古代陶瓷烧制工艺的珍品，全名唐代三彩釉陶器，是盛行于唐代的一种低温釉陶器，釉彩有黄、绿、白、褐、蓝、黑等色彩，而以黄、绿、白三色为主，所以人们习惯称之为“唐三彩”。因唐三彩最早、最多出土于洛阳，亦有“洛阳唐三彩”之称,"9:00—17:00，周二到周日开放
周一闭馆（周一逢节假日开放）",免费,2-3小时,四季皆宜,701路，702路，990路,112.1410122,34.73146787,,,,,,,,,,,,,
新安县千唐志斋博物馆,,Qiantang zhizhai Museum of Xin'an County,千唐志斋博物馆位于洛阳新安县铁门镇西北隅，是辛亥革命元老张钫先生所建，为全国重点文物保护单位、国家AAAA级旅游景点、国家二级博物馆、中国唯一的墓志铭博物馆，以珍藏唐及历代墓志石刻一千四百余件而闻名于世，章炳麟曾用古篆为之题额《千唐志斋》。千唐志斋是研究唐代三百年文治武功和书法艺术的史料宝库，因其丰富的内涵被誉为“石刻唐书”、“唐书法演变史”等。,新安县铁门镇 ,河南省,洛阳市,2017年,15389,"
历史",0379-69729800,在十三朝朝古都洛阳以西45公里处，有一个风光旖旎、山明水秀的地方——铁门镇。这里西扼崤岭，东控函谷，已有千年历史，被章太炎誉为“当关洛孔道”。这里青龙、凤凰两山对峙，一肪涧水潺潺东流，素有洛阳西大门之称。,文章、书法、篆刻,1419,张子温墓志,"志盖为民国书法大家、西冷印社首任社长吴昌硕篆书,末尾于右任题记:“此盖篆就,吴仓老自矜为生平第一。此志不朽,老伯不朽,皆兄之孝心所感也,其珍惜之。伯英兄。于右任。”志文则有两方刻石,内容相同,一方中间断裂,一方完整,是因第一方墓志镌刻完毕,在搬运过程中石头裂为两片。于右任于是再次为其书写。两方志石同时镶嵌在墙壁之上.","每天8:00-17:00,每逢周一、除夕闭馆",免费,2-3小时,四季皆宜,703路，新安712路,112.027618,34.74373797,,,,,,,,,,,,,
张钫纪念馆,,Zhang Fang Memorial Hall,张钫纪念馆是一座布局严谨、独具特色的民国民居建筑群，占地4200平方米、有120余间。按照张钫的人生阶段，被分为12个展厅。张钫后人捐赠的数百件张钫遗物，被分散摆放在多个展厅。张钫印鉴、抗战胜利纪念章及张钫手书的《孙子笔法》、穿过的大棉袄、家传的象牙筷……这些旧物带着历史的味道，真实还原了张钫的一生。,新安县铁门镇,河南省,洛阳市,2011/10/10,4200,革命,0379-69729800,"他是辛亥革命元老，著名爱国将领、民主人士，千唐志斋创始人，曾任陕西“靖国军”副总司令，历任国民革命军二十路军总指挥、河南省民政厅、建设厅厅长、代主席等职。
1986年，他魂归故里，长眠于千唐志斋之侧。纪念馆由此诞生。
张钫纪念馆占地4200平方米，有房屋120余间，是一座布局严谨、独具特色的民国民居建筑群。纪念馆按照张钫的人生阶段，被分为12个展厅。数百件张钫遗物被分散摆放在多个展厅。张钫印鉴、抗战胜利纪念章及张钫手书的《孙子兵法》、穿过的大棉袄、家传的象牙筷等旧物带着历史的味道，真实还原了张钫的一生。",张钫事迹,暂未找到,张钫遗物,张钫后人捐赠的数百件张钫遗物，被分散摆放在多个展厅。张钫印鉴、抗战胜利纪念章及张钫手书的《孙子笔法》、穿过的大棉袄、家传的象牙筷……这些旧物带着历史的味道，真实还原了张钫的一生。,9:00—17:00，全年开放,成人票价20元/人,2-3小时,四季皆宜,703路，新安712路,112.02823,34.742633,,,,,,,,,,,,,
